id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,images_raw,review_image_urls,review_images_flat,review_image_count,has_review_images,first_review_image_url,seller_id,seller_name,delivery_rating
17097900,764260,180378151,5,Cực kì hài lòng,"Thiết kế đẹp nhưng phần tay cầm cao su không biết có dễ vs không, cầm lâu sợ bị đen và chảy cao su. Phần đế có lót cao su chống trượt (ko thấy ai review có nên lúc mua m cũng hơi lo). Ống hút đi kèm hơi dài và ko cong đầu nên m dùng ống cũ có cong. Nếu muốn xài set 6 ống hút silicon của LnL luôn cũng vừa, nhưng phải xoay đầu miệng lớn. Nắp là dạng vặn không phải bật mở. Chưa *** giữ nhiệt nhưng nắp nhựa nên chắc chắn để đá cao sẽ ra mồ hôi rồi.",approved,6,0,"[""https://salt.tikicdn.com/ts/review/e0/40/20/97fbfa856d8e299e3f3513a967ff22ee.jpg"", ""https://salt.tikicdn.com/ts/review/e2/b8/a4/f7c879371c2da150722d95f92d276a97.jpg"", ""https://salt.tikicdn.com/ts/review/28/d1/92/5724f316258b1e5bb40a25849b77fd5a.jpg"", ""https://salt.tikicdn.com/ts/review/83/67/ff/1d3ce85119725803a3d7442b194173c8.jpg"", ""https://salt.tikicdn.com/ts/review/eb/b7/ab/a070471288e9f602ea0ce31f6db9d057.jpg""]","[{""id"": 3695702, ""full_path"": ""https://salt.tikicdn.com/ts/review/e0/40/20/97fbfa856d8e299e3f3513a967ff22ee.jpg"", ""status"": ""approved""}, {""id"": 3695703, ""full_path"": ""https://salt.tikicdn.com/ts/review/e2/b8/a4/f7c879371c2da150722d95f92d276a97.jpg"", ""status"": ""approved""}, {""id"": 3695704, ""full_path"": ""https://salt.tikicdn.com/ts/review/28/d1/92/5724f316258b1e5bb40a25849b77fd5a.jpg"", ""status"": ""approved""}, {""id"": 3695705, ""full_path"": ""https://salt.tikicdn.com/ts/review/83/67/ff/1d3ce85119725803a3d7442b194173c8.jpg"", ""status"": ""approved""}, {""id"": 3695706, ""full_path"": ""https://salt.tikicdn.com/ts/review/eb/b7/ab/a070471288e9f602ea0ce31f6db9d057.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/e0/40/20/97fbfa856d8e299e3f3513a967ff22ee.jpg"", ""https://salt.tikicdn.com/ts/review/e2/b8/a4/f7c879371c2da150722d95f92d276a97.jpg"", ""https://salt.tikicdn.com/ts/review/28/d1/92/5724f316258b1e5bb40a25849b77fd5a.jpg"", ""https://salt.tikicdn.com/ts/review/83/67/ff/1d3ce85119725803a3d7442b194173c8.jpg"", ""https://salt.tikicdn.com/ts/review/eb/b7/ab/a070471288e9f602ea0ce31f6db9d057.jpg""]",https://salt.tikicdn.com/ts/review/e0/40/20/97fbfa856d8e299e3f3513a967ff22ee.jpg | https://salt.tikicdn.com/ts/review/e2/b8/a4/f7c879371c2da150722d95f92d276a97.jpg | https://salt.tikicdn.com/ts/review/28/d1/92/5724f316258b1e5bb40a25849b77fd5a.jpg | https://salt.tikicdn.com/ts/review/83/67/ff/1d3ce85119725803a3d7442b194173c8.jpg | https://salt.tikicdn.com/ts/review/eb/b7/ab/a070471288e9f602ea0ce31f6db9d057.jpg,5,True,https://salt.tikicdn.com/ts/review/e0/40/20/97fbfa856d8e299e3f3513a967ff22ee.jpg,1,Tiki Trading,[]
19492274,11335632,180378151,2,Không hài lòng,"Giao hàng rất nhanh, hàng đẹp nhưng điểm trừ nhân viên không kiểm tra kỹ hàng trước khi đóng gói, đáy ly mặt ngoài bị lõm, méo k đặt vững được. Đã tạo yêu cầu chờ hỗ trợ đổi sp nhưng chưa thấy Tiki phản hồi!",approved,1,1,"[""https://salt.tikicdn.com/ts/review/8e/8a/1d/ebba598da4934408780bc63dc610f5a8.jpg"", ""https://salt.tikicdn.com/ts/review/db/1f/d7/825108c1ca099bc29925dbb3cb0cef4b.jpg"", ""https://salt.tikicdn.com/ts/review/90/eb/a4/5c978d986e21b6a5185083334eaaa934.jpg"", ""https://salt.tikicdn.com/ts/review/c4/92/5e/b36f4884bc355e2442898a8c5cd30d1d.jpg""]","[{""id"": 4277752, ""full_path"": ""https://salt.tikicdn.com/ts/review/8e/8a/1d/ebba598da4934408780bc63dc610f5a8.jpg"", ""status"": ""approved""}, {""id"": 4277753, ""full_path"": ""https://salt.tikicdn.com/ts/review/db/1f/d7/825108c1ca099bc29925dbb3cb0cef4b.jpg"", ""status"": ""approved""}, {""id"": 4277754, ""full_path"": ""https://salt.tikicdn.com/ts/review/90/eb/a4/5c978d986e21b6a5185083334eaaa934.jpg"", ""status"": ""approved""}, {""id"": 4277755, ""full_path"": ""https://salt.tikicdn.com/ts/review/c4/92/5e/b36f4884bc355e2442898a8c5cd30d1d.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/8e/8a/1d/ebba598da4934408780bc63dc610f5a8.jpg"", ""https://salt.tikicdn.com/ts/review/db/1f/d7/825108c1ca099bc29925dbb3cb0cef4b.jpg"", ""https://salt.tikicdn.com/ts/review/90/eb/a4/5c978d986e21b6a5185083334eaaa934.jpg"", ""https://salt.tikicdn.com/ts/review/c4/92/5e/b36f4884bc355e2442898a8c5cd30d1d.jpg""]",https://salt.tikicdn.com/ts/review/8e/8a/1d/ebba598da4934408780bc63dc610f5a8.jpg | https://salt.tikicdn.com/ts/review/db/1f/d7/825108c1ca099bc29925dbb3cb0cef4b.jpg | https://salt.tikicdn.com/ts/review/90/eb/a4/5c978d986e21b6a5185083334eaaa934.jpg | https://salt.tikicdn.com/ts/review/c4/92/5e/b36f4884bc355e2442898a8c5cd30d1d.jpg,4,True,https://salt.tikicdn.com/ts/review/8e/8a/1d/ebba598da4934408780bc63dc610f5a8.jpg,1,Tiki Trading,[]
17229808,15079660,180378151,5,Cực kì hài lòng,"U là chài, gì mà mới đặt hôm qua hôm nay đã nhận được hàng rồi, nhanh gì mà nhanh dữ vại, ngta chưa kịp cbi tâm lí nhận hàng nữa, rồi mở cái thùng đóng kĩ càng xem, cái gì mà to đẹp mà cầm nặng tay chất dữ vài chèn. M sd để giữ lạnh nên khá ok, đá lâu tan lắm hơn 1 ngày á, còn giữu nóng thì m k biết. có điều khi làm rớt cái chốt đen bị gãy rồi....",approved,0,0,"[""https://salt.tikicdn.com/ts/review/6b/18/95/22e40c5df699703d98dca9a14e3577dd.jpg"", ""https://salt.tikicdn.com/ts/review/d2/f3/98/a9215ae35974b123ef6283999ef2a736.jpg"", ""https://salt.tikicdn.com/ts/review/da/c9/51/c37031ea73aa19e5092c8df535882618.jpg"", ""https://salt.tikicdn.com/ts/review/1a/7b/21/6abe155b3cb804de86ddbbf93037195f.jpg""]","[{""id"": 4031379, ""full_path"": ""https://salt.tikicdn.com/ts/review/6b/18/95/22e40c5df699703d98dca9a14e3577dd.jpg"", ""status"": ""approved""}, {""id"": 4031380, ""full_path"": ""https://salt.tikicdn.com/ts/review/d2/f3/98/a9215ae35974b123ef6283999ef2a736.jpg"", ""status"": ""approved""}, {""id"": 4031381, ""full_path"": ""https://salt.tikicdn.com/ts/review/da/c9/51/c37031ea73aa19e5092c8df535882618.jpg"", ""status"": ""approved""}, {""id"": 4031382, ""full_path"": ""https://salt.tikicdn.com/ts/review/1a/7b/21/6abe155b3cb804de86ddbbf93037195f.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/6b/18/95/22e40c5df699703d98dca9a14e3577dd.jpg"", ""https://salt.tikicdn.com/ts/review/d2/f3/98/a9215ae35974b123ef6283999ef2a736.jpg"", ""https://salt.tikicdn.com/ts/review/da/c9/51/c37031ea73aa19e5092c8df535882618.jpg"", ""https://salt.tikicdn.com/ts/review/1a/7b/21/6abe155b3cb804de86ddbbf93037195f.jpg""]",https://salt.tikicdn.com/ts/review/6b/18/95/22e40c5df699703d98dca9a14e3577dd.jpg | https://salt.tikicdn.com/ts/review/d2/f3/98/a9215ae35974b123ef6283999ef2a736.jpg | https://salt.tikicdn.com/ts/review/da/c9/51/c37031ea73aa19e5092c8df535882618.jpg | https://salt.tikicdn.com/ts/review/1a/7b/21/6abe155b3cb804de86ddbbf93037195f.jpg,4,True,https://salt.tikicdn.com/ts/review/6b/18/95/22e40c5df699703d98dca9a14e3577dd.jpg,1,Tiki Trading,[]
18713239,22130949,180378151,5,Cực kì hài lòng,"Ở Cần Thơ mà tui đặt hàng trưa 30/01 mà qua trưa 31/01 giao rồi chời. Nhanh dữ lắm luôn, *** 1 đêm mới review, đá đóng cục cứng ngắt & không tan luôn ó. Sức sắc, vào cửa hàng L&L giá giảm rồi vẫn mắc, mua tiki vừa chính hãng vừa rẻ hơn nhiều👍👍👍",approved,0,0,"[""https://salt.tikicdn.com/ts/review/40/cb/fd/f684894887763535c00c35e89810b322.jpg"", ""https://salt.tikicdn.com/ts/review/0b/ef/9a/1ca3c91e464d93a5c0f0e23449bbc0ea.jpg"", ""https://salt.tikicdn.com/ts/review/b1/dc/fa/3dd95457607ecbc243e17753e2f5db37.jpg""]","[{""id"": 4096978, ""full_path"": ""https://salt.tikicdn.com/ts/review/40/cb/fd/f684894887763535c00c35e89810b322.jpg"", ""status"": ""approved""}, {""id"": 4096979, ""full_path"": ""https://salt.tikicdn.com/ts/review/0b/ef/9a/1ca3c91e464d93a5c0f0e23449bbc0ea.jpg"", ""status"": ""approved""}, {""id"": 4096980, ""full_path"": ""https://salt.tikicdn.com/ts/review/b1/dc/fa/3dd95457607ecbc243e17753e2f5db37.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/40/cb/fd/f684894887763535c00c35e89810b322.jpg"", ""https://salt.tikicdn.com/ts/review/0b/ef/9a/1ca3c91e464d93a5c0f0e23449bbc0ea.jpg"", ""https://salt.tikicdn.com/ts/review/b1/dc/fa/3dd95457607ecbc243e17753e2f5db37.jpg""]",https://salt.tikicdn.com/ts/review/40/cb/fd/f684894887763535c00c35e89810b322.jpg | https://salt.tikicdn.com/ts/review/0b/ef/9a/1ca3c91e464d93a5c0f0e23449bbc0ea.jpg | https://salt.tikicdn.com/ts/review/b1/dc/fa/3dd95457607ecbc243e17753e2f5db37.jpg,3,True,https://salt.tikicdn.com/ts/review/40/cb/fd/f684894887763535c00c35e89810b322.jpg,1,Tiki Trading,[]
17658560,18811194,180378151,1,Rất không hài lòng,Mình mới nhận hàng. Sản phẩm bị lỗi bỏ đá một đêm tới sáng tan hết nhờ hỗ trợ đổi trả. Nhưng hộp sản phẩm mất thế là tiki lại không hỗ trợ. Các bạn mua hàng lưu ý. Tránh bỏ tiền ra mà vì cái hộp mất tiền nhé.,approved,0,0,"[""https://salt.tikicdn.com/ts/review/1c/35/74/99f9d27a9ce3b348232f40f865a4f451.jpg"", ""https://salt.tikicdn.com/ts/review/ab/29/c2/12646cee8cf56d08e3aca85c09f01168.jpg"", ""https://salt.tikicdn.com/ts/review/01/25/07/f519131e520add6a742daeec01ce2f41.jpg"", ""https://salt.tikicdn.com/ts/review/31/8b/e0/c45db922f49780cdf446276a0f713ddd.jpg""]","[{""id"": 3864156, ""full_path"": ""https://salt.tikicdn.com/ts/review/1c/35/74/99f9d27a9ce3b348232f40f865a4f451.jpg"", ""status"": ""approved""}, {""id"": 3864157, ""full_path"": ""https://salt.tikicdn.com/ts/review/ab/29/c2/12646cee8cf56d08e3aca85c09f01168.jpg"", ""status"": ""approved""}, {""id"": 3864158, ""full_path"": ""https://salt.tikicdn.com/ts/review/01/25/07/f519131e520add6a742daeec01ce2f41.jpg"", ""status"": ""approved""}, {""id"": 3864159, ""full_path"": ""https://salt.tikicdn.com/ts/review/31/8b/e0/c45db922f49780cdf446276a0f713ddd.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/1c/35/74/99f9d27a9ce3b348232f40f865a4f451.jpg"", ""https://salt.tikicdn.com/ts/review/ab/29/c2/12646cee8cf56d08e3aca85c09f01168.jpg"", ""https://salt.tikicdn.com/ts/review/01/25/07/f519131e520add6a742daeec01ce2f41.jpg"", ""https://salt.tikicdn.com/ts/review/31/8b/e0/c45db922f49780cdf446276a0f713ddd.jpg""]",https://salt.tikicdn.com/ts/review/1c/35/74/99f9d27a9ce3b348232f40f865a4f451.jpg | https://salt.tikicdn.com/ts/review/ab/29/c2/12646cee8cf56d08e3aca85c09f01168.jpg | https://salt.tikicdn.com/ts/review/01/25/07/f519131e520add6a742daeec01ce2f41.jpg | https://salt.tikicdn.com/ts/review/31/8b/e0/c45db922f49780cdf446276a0f713ddd.jpg,4,True,https://salt.tikicdn.com/ts/review/1c/35/74/99f9d27a9ce3b348232f40f865a4f451.jpg,1,Tiki Trading,[]
20024028,27944361,180378151,5,Cực kì hài lòng,Hàng được đóng gói rất chắc và tốt. Giao nhanh và đúng theo yêu cầu. Cảm ơn Shop và Tiki,approved,0,1,"[""https://salt.tikicdn.com/ts/review/11/b9/f6/c0c30c12b0dbe418d346dd07047e19ba.jpg"", ""https://salt.tikicdn.com/ts/review/51/e1/f1/5d706511ba7cbc2dd42a6b786299dde8.jpg"", ""https://salt.tikicdn.com/ts/review/93/78/c7/3a5c38128224092871b7c294968488a9.jpg""]","[{""id"": 4386470, ""full_path"": ""https://salt.tikicdn.com/ts/review/11/b9/f6/c0c30c12b0dbe418d346dd07047e19ba.jpg"", ""status"": ""approved""}, {""id"": 4386471, ""full_path"": ""https://salt.tikicdn.com/ts/review/51/e1/f1/5d706511ba7cbc2dd42a6b786299dde8.jpg"", ""status"": ""approved""}, {""id"": 4386472, ""full_path"": ""https://salt.tikicdn.com/ts/review/93/78/c7/3a5c38128224092871b7c294968488a9.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/11/b9/f6/c0c30c12b0dbe418d346dd07047e19ba.jpg"", ""https://salt.tikicdn.com/ts/review/51/e1/f1/5d706511ba7cbc2dd42a6b786299dde8.jpg"", ""https://salt.tikicdn.com/ts/review/93/78/c7/3a5c38128224092871b7c294968488a9.jpg""]",https://salt.tikicdn.com/ts/review/11/b9/f6/c0c30c12b0dbe418d346dd07047e19ba.jpg | https://salt.tikicdn.com/ts/review/51/e1/f1/5d706511ba7cbc2dd42a6b786299dde8.jpg | https://salt.tikicdn.com/ts/review/93/78/c7/3a5c38128224092871b7c294968488a9.jpg,3,True,https://salt.tikicdn.com/ts/review/11/b9/f6/c0c30c12b0dbe418d346dd07047e19ba.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
18925211,816744,180378151,5,Cực kì hài lòng,"Bình rất tốt, để 2 tiếng rồi vẫn chưa có hiện tượng giọt nước ngoài thân bình, có điều cái ống hút tặng kèm dài quá nên mua thêm ống đầu cong sẽ ok hơn. Đáng để mua",approved,1,0,"[""https://salt.tikicdn.com/ts/review/81/63/1d/275aec9e6d4e8f63c91ac88c4345953e.jpg"", ""https://salt.tikicdn.com/ts/review/18/a9/25/847d42d57077622c00c49b0fca189050.jpg"", ""https://salt.tikicdn.com/ts/review/c3/2d/63/56c2b9073458e20c5d406b4b75bf3429.jpg"", ""https://salt.tikicdn.com/ts/review/2b/d9/fb/48e6f028a3c1f69acc87edd7e3fb5e1c.jpg""]","[{""id"": 4146847, ""full_path"": ""https://salt.tikicdn.com/ts/review/81/63/1d/275aec9e6d4e8f63c91ac88c4345953e.jpg"", ""status"": ""approved""}, {""id"": 4146848, ""full_path"": ""https://salt.tikicdn.com/ts/review/18/a9/25/847d42d57077622c00c49b0fca189050.jpg"", ""status"": ""approved""}, {""id"": 4146849, ""full_path"": ""https://salt.tikicdn.com/ts/review/c3/2d/63/56c2b9073458e20c5d406b4b75bf3429.jpg"", ""status"": ""approved""}, {""id"": 4146850, ""full_path"": ""https://salt.tikicdn.com/ts/review/2b/d9/fb/48e6f028a3c1f69acc87edd7e3fb5e1c.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/81/63/1d/275aec9e6d4e8f63c91ac88c4345953e.jpg"", ""https://salt.tikicdn.com/ts/review/18/a9/25/847d42d57077622c00c49b0fca189050.jpg"", ""https://salt.tikicdn.com/ts/review/c3/2d/63/56c2b9073458e20c5d406b4b75bf3429.jpg"", ""https://salt.tikicdn.com/ts/review/2b/d9/fb/48e6f028a3c1f69acc87edd7e3fb5e1c.jpg""]",https://salt.tikicdn.com/ts/review/81/63/1d/275aec9e6d4e8f63c91ac88c4345953e.jpg | https://salt.tikicdn.com/ts/review/18/a9/25/847d42d57077622c00c49b0fca189050.jpg | https://salt.tikicdn.com/ts/review/c3/2d/63/56c2b9073458e20c5d406b4b75bf3429.jpg | https://salt.tikicdn.com/ts/review/2b/d9/fb/48e6f028a3c1f69acc87edd7e3fb5e1c.jpg,4,True,https://salt.tikicdn.com/ts/review/81/63/1d/275aec9e6d4e8f63c91ac88c4345953e.jpg,1,Tiki Trading,[]
17574125,5252659,180378151,5,Cực kì hài lòng,"Thiết kế tối giản và sành điệu. Giữ nhiệt tốt, bên trong không có quá nhiều chi tiết rườm rà nên dễ dàng vệ sinh. Ống hút tặng kèm màu trắng trong suốt nên nhìn rất sạch sẽ.",approved,0,0,"[""https://salt.tikicdn.com/ts/review/f6/d7/80/a65e9dec823ca3b0b31106dc3c34f6b4.jpg"", ""https://salt.tikicdn.com/ts/review/6a/11/1c/34335371ef34cdedf43f756203ae0290.jpg"", ""https://salt.tikicdn.com/ts/review/ff/c8/3b/09ab37cc11e6ece05098e013eb9f1040.jpg"", ""https://salt.tikicdn.com/ts/review/01/4e/cc/35a4995b26a7ed1849d58e20fed141b9.jpg""]","[{""id"": 3843170, ""full_path"": ""https://salt.tikicdn.com/ts/review/f6/d7/80/a65e9dec823ca3b0b31106dc3c34f6b4.jpg"", ""status"": ""approved""}, {""id"": 3843171, ""full_path"": ""https://salt.tikicdn.com/ts/review/6a/11/1c/34335371ef34cdedf43f756203ae0290.jpg"", ""status"": ""approved""}, {""id"": 3843172, ""full_path"": ""https://salt.tikicdn.com/ts/review/ff/c8/3b/09ab37cc11e6ece05098e013eb9f1040.jpg"", ""status"": ""approved""}, {""id"": 3843173, ""full_path"": ""https://salt.tikicdn.com/ts/review/01/4e/cc/35a4995b26a7ed1849d58e20fed141b9.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/f6/d7/80/a65e9dec823ca3b0b31106dc3c34f6b4.jpg"", ""https://salt.tikicdn.com/ts/review/6a/11/1c/34335371ef34cdedf43f756203ae0290.jpg"", ""https://salt.tikicdn.com/ts/review/ff/c8/3b/09ab37cc11e6ece05098e013eb9f1040.jpg"", ""https://salt.tikicdn.com/ts/review/01/4e/cc/35a4995b26a7ed1849d58e20fed141b9.jpg""]",https://salt.tikicdn.com/ts/review/f6/d7/80/a65e9dec823ca3b0b31106dc3c34f6b4.jpg | https://salt.tikicdn.com/ts/review/6a/11/1c/34335371ef34cdedf43f756203ae0290.jpg | https://salt.tikicdn.com/ts/review/ff/c8/3b/09ab37cc11e6ece05098e013eb9f1040.jpg | https://salt.tikicdn.com/ts/review/01/4e/cc/35a4995b26a7ed1849d58e20fed141b9.jpg,4,True,https://salt.tikicdn.com/ts/review/f6/d7/80/a65e9dec823ca3b0b31106dc3c34f6b4.jpg,1,Tiki Trading,[]
19956844,7636047,180378151,5,Cực kì hài lòng,"Ly rất đẹp, dày dặn cầm chắc tay
Dụng cụ rửa ly quá ổn",approved,0,1,"[""https://salt.tikicdn.com/ts/review/12/b3/18/e88d9958bea4362fa30922799c9accbd.jpg"", ""https://salt.tikicdn.com/ts/review/b4/a7/f8/874743822d1f1b78e25801640655c713.jpg"", ""https://salt.tikicdn.com/ts/review/5a/66/61/aeacf45bae1657790d31bbba29d966a5.jpg""]","[{""id"": 4372423, ""full_path"": ""https://salt.tikicdn.com/ts/review/12/b3/18/e88d9958bea4362fa30922799c9accbd.jpg"", ""status"": ""approved""}, {""id"": 4372424, ""full_path"": ""https://salt.tikicdn.com/ts/review/b4/a7/f8/874743822d1f1b78e25801640655c713.jpg"", ""status"": ""approved""}, {""id"": 4372425, ""full_path"": ""https://salt.tikicdn.com/ts/review/5a/66/61/aeacf45bae1657790d31bbba29d966a5.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/12/b3/18/e88d9958bea4362fa30922799c9accbd.jpg"", ""https://salt.tikicdn.com/ts/review/b4/a7/f8/874743822d1f1b78e25801640655c713.jpg"", ""https://salt.tikicdn.com/ts/review/5a/66/61/aeacf45bae1657790d31bbba29d966a5.jpg""]",https://salt.tikicdn.com/ts/review/12/b3/18/e88d9958bea4362fa30922799c9accbd.jpg | https://salt.tikicdn.com/ts/review/b4/a7/f8/874743822d1f1b78e25801640655c713.jpg | https://salt.tikicdn.com/ts/review/5a/66/61/aeacf45bae1657790d31bbba29d966a5.jpg,3,True,https://salt.tikicdn.com/ts/review/12/b3/18/e88d9958bea4362fa30922799c9accbd.jpg,1,Tiki Trading,[]
17075335,27634803,180378151,1,Rất không hài lòng,Hôm qua lúc đặt hàng thì có kèm quà tặng 1 cái ly 2 lớp xinh xẻo. Thế là mình rủ bạn cùng mua. Rồi cũng là lần đầu tiên mua hàng trên tiki và đã thanh toán trước. Hôm nay nhân hàng cả 2 đơn đều không có quà tặng của mình.do không biết nên khi thanh toán không để ý vào giỏ hàng k có kèm quà tặng. Hơi ức vì lần đầu mua hàng,approved,0,0,"[""https://salt.tikicdn.com/ts/review/a3/bb/d1/99a1229c017b739c7546933e72124607.jpg""]","[{""id"": 3689315, ""full_path"": ""https://salt.tikicdn.com/ts/review/a3/bb/d1/99a1229c017b739c7546933e72124607.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/a3/bb/d1/99a1229c017b739c7546933e72124607.jpg""]",https://salt.tikicdn.com/ts/review/a3/bb/d1/99a1229c017b739c7546933e72124607.jpg,1,True,https://salt.tikicdn.com/ts/review/a3/bb/d1/99a1229c017b739c7546933e72124607.jpg,1,Tiki Trading,[]
17452013,21333139,180378151,5,Cực kì hài lòng,"Mới đặt lúc sáng mà trưa đã nhận được hàng, giao nhanh quá trời :))
Bình nước màu xinh xỉu, phần cao su chống trượt và cầm cũng chắc tay, nên mua nha mọi người :))",approved,0,0,"[""https://salt.tikicdn.com/ts/review/3f/3c/66/93bff58789d4c5fe14235546790673ab.jpg"", ""https://salt.tikicdn.com/ts/review/d4/aa/d2/d90b5ae5554077dc8a63a76bf4ba121f.jpg""]","[{""id"": 3807084, ""full_path"": ""https://salt.tikicdn.com/ts/review/3f/3c/66/93bff58789d4c5fe14235546790673ab.jpg"", ""status"": ""approved""}, {""id"": 3807085, ""full_path"": ""https://salt.tikicdn.com/ts/review/d4/aa/d2/d90b5ae5554077dc8a63a76bf4ba121f.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/3f/3c/66/93bff58789d4c5fe14235546790673ab.jpg"", ""https://salt.tikicdn.com/ts/review/d4/aa/d2/d90b5ae5554077dc8a63a76bf4ba121f.jpg""]",https://salt.tikicdn.com/ts/review/3f/3c/66/93bff58789d4c5fe14235546790673ab.jpg | https://salt.tikicdn.com/ts/review/d4/aa/d2/d90b5ae5554077dc8a63a76bf4ba121f.jpg,2,True,https://salt.tikicdn.com/ts/review/3f/3c/66/93bff58789d4c5fe14235546790673ab.jpg,1,Tiki Trading,[]
19881481,12124624,180378151,5,Cực kì hài lòng,bị rớt gãy chốt nắp giờ mua nắp mới ở đâu vậy shop. thanks,approved,0,1,"[""https://salt.tikicdn.com/ts/review/ac/dc/95/dc74027b766a1e2a87e3d1e86c1f10c0.jpg""]","[{""id"": 4358001, ""full_path"": ""https://salt.tikicdn.com/ts/review/ac/dc/95/dc74027b766a1e2a87e3d1e86c1f10c0.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/ac/dc/95/dc74027b766a1e2a87e3d1e86c1f10c0.jpg""]",https://salt.tikicdn.com/ts/review/ac/dc/95/dc74027b766a1e2a87e3d1e86c1f10c0.jpg,1,True,https://salt.tikicdn.com/ts/review/ac/dc/95/dc74027b766a1e2a87e3d1e86c1f10c0.jpg,1,Tiki Trading,[]
17095518,10715339,180378151,5,Cực kì hài lòng,"Size vừa tầm. Nếu so với nam thì khá nhỏ. Còn với nữ là okila.
Sản phẩm đẹp, độ giữ đá phải sử dụng lâu mới đánh giá được.
Nếu dùng tốt sẽ chốt lun em màu mint.",approved,0,0,"[""https://salt.tikicdn.com/ts/review/9b/f0/0c/e5153b38875fe786f08f0af620db35df.jpg"", ""https://salt.tikicdn.com/ts/review/ef/4e/b6/46aa6a9ae38cab31bdaf8ec81e5a1cad.jpg""]","[{""id"": 3694943, ""full_path"": ""https://salt.tikicdn.com/ts/review/9b/f0/0c/e5153b38875fe786f08f0af620db35df.jpg"", ""status"": ""approved""}, {""id"": 3694944, ""full_path"": ""https://salt.tikicdn.com/ts/review/ef/4e/b6/46aa6a9ae38cab31bdaf8ec81e5a1cad.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/9b/f0/0c/e5153b38875fe786f08f0af620db35df.jpg"", ""https://salt.tikicdn.com/ts/review/ef/4e/b6/46aa6a9ae38cab31bdaf8ec81e5a1cad.jpg""]",https://salt.tikicdn.com/ts/review/9b/f0/0c/e5153b38875fe786f08f0af620db35df.jpg | https://salt.tikicdn.com/ts/review/ef/4e/b6/46aa6a9ae38cab31bdaf8ec81e5a1cad.jpg,2,True,https://salt.tikicdn.com/ts/review/9b/f0/0c/e5153b38875fe786f08f0af620db35df.jpg,1,Tiki Trading,[]
19433133,21977146,180378151,1,Rất không hài lòng,bị rò nước từ lỗ nắp . cái này đựng nước không kín. nghiêng ra là bị đổ nước ngay,approved,0,0,"[""https://salt.tikicdn.com/ts/review/58/c4/17/a08068bc643a9eb115532d6c21452205.jpg"", ""https://salt.tikicdn.com/ts/review/45/9a/ab/b4e01a4e5bb6648279277144c7ce74bb.jpg""]","[{""id"": 4265449, ""full_path"": ""https://salt.tikicdn.com/ts/review/58/c4/17/a08068bc643a9eb115532d6c21452205.jpg"", ""status"": ""approved""}, {""id"": 4265450, ""full_path"": ""https://salt.tikicdn.com/ts/review/45/9a/ab/b4e01a4e5bb6648279277144c7ce74bb.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/58/c4/17/a08068bc643a9eb115532d6c21452205.jpg"", ""https://salt.tikicdn.com/ts/review/45/9a/ab/b4e01a4e5bb6648279277144c7ce74bb.jpg""]",https://salt.tikicdn.com/ts/review/58/c4/17/a08068bc643a9eb115532d6c21452205.jpg | https://salt.tikicdn.com/ts/review/45/9a/ab/b4e01a4e5bb6648279277144c7ce74bb.jpg,2,True,https://salt.tikicdn.com/ts/review/58/c4/17/a08068bc643a9eb115532d6c21452205.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
